agent-worker  | [AuditWorker] Received event raw: {'event_id': '9cb32a6f-6e32-4118-aca1-64a03139fb1c', 'schema_version': '1', 'event_type': 'run_finis
agent-worker  | [SQL: INSERT INTO agent_spans (span_id, run_id, parent_span_id, span_type, agent_name, subagent_kind, graph_id, node_id, node_name, attempt, started_at, ended_at, status, input_blob_id, output_blob_id) VALUES ($1::UUID, $2::UUID, $3::UUID, $4::VARCHAR, $5::VARCHAR, $6::VARCHAR, $7::VARCHAR, $8::VARCHAR, $9::VARCHAR, $10::INTEGER, $11::TIMESTAMP WITH TIME ZONE, $12::TIMESTAMP WITH TIME ZONE, $13::VARCHAR, $14::UUID, $15::UUID)]
agent-worker  | [parameters: (UUID('019bf609-541f-7a23-9540-073aeadcf7f1'), UUID('d02c0a3e-b94c-4c7b-92e7-17f52f741a7f'), None, 'unknown', 'unknown', None, None, None, None, 1, datetime.datetime(2026, 1, 25, 16, 42, 46, 391421), None, 'running', None, None)]
agent-worker  | (Background on this error at: https://sqlalche.me/e/20/gkpj)
agent-worker  | AUDIT_LOG: {"event_id": "ef4ca342-b009-4dd1-9be5-0fec8b871520", "schema_version": "1", "event_type": "tool_call_requested", "event_time": "1769359365.1514266", "run_id": "d02c0a3e-b94c-4c7b-92e7-17f52f741a7f", "session_id": "65bbce37-8a62-40a2-9a58-ab2fdc423217", "thread_id": "10f75379-fa45-4a1d-a934-bca0dbbc7395", "span_id": "019bf609-541f-7a23-9540-073aeadcf7f1", "parent_span_id": "019bf609-541e-7d92-ba26-af0711c84e0c", "component": "tool", "actor_type": "agent", "actor_id": "worker", "payload_json": "{\"tool_name\": \"task\", \"input_digest\": \"{'description': '执行SQL查询列出当前数据库中的所有表（使用SELECT table_name FROM information_schema.tables WHERE table_schema = DATABASE()）', 'subagent_type': 'sql_agent'}\"}", "timestamp": 1769359366.3889065}
agent-worker  | [AuditWorker] Received event raw: {'event_id': 'd3f7c4fd-fb3d-4f6c-9759-9c978e67ba74', 'schema_version': '1', 'event_type': 'chain_sta
agent-worker  | Ensure Span 019bf609-541f-7a23-9540-074b49b6a254 failed: (sqlalchemy.dialects.postgresql.asyncpg.IntegrityError) <class 'asyncpg.exceptions.UniqueViolationError'>: duplicate key value violates unique constraint "agent_spans_pkey"
agent-worker  | DETAIL:  Key (span_id)=(019bf609-541f-7a23-9540-074b49b6a254) already exists.
agent-worker  | [SQL: INSERT INTO agent_spans (span_id, run_id, parent_span_id, span_type, agent_name, subagent_kind, graph_id, node_id, node_name, attempt, started_at, ended_at, status, input_blob_id, output_blob_id) VALUES ($1::UUID, $2::UUID, $3::UUID, $4::VARCHAR, $5::VARCHAR, $6::VARCHAR, $7::VARCHAR, $8::VARCHAR, $9::VARCHAR, $10::INTEGER, $11::TIMESTAMP WITH TIME ZONE, $12::TIMESTAMP WITH TIME ZONE, $13::VARCHAR, $14::UUID, $15::UUID)]
agent-worker  | [parameters: (UUID('019bf609-541f-7a23-9540-074b49b6a254'), UUID('d02c0a3e-b94c-4c7b-92e7-17f52f741a7f'), None, 'unknown', 'unknown', None, None, None, None, 1, datetime.datetime(2026, 1, 25, 16, 42, 46, 396420), None, 'running', None, None)]
agent-worker  | (Background on this error at: https://sqlalche.me/e/20/gkpj)
agent-worker  | AUDIT_LOG: {"event_id": "d3f7c4fd-fb3d-4f6c-9759-9c978e67ba74", "schema_version": "1", "event_type": "chain_start", "event_time": "1769359365.1519713", "run_id": "d02c0a3e-b94c-4c7b-92e7-17f52f741a7f", "session_id": "65bbce37-8a62-40a2-9a58-ab2fdc423217", "thread_id": "10f75379-fa45-4a1d-a934-bca0dbbc7395", "span_id": "019bf609-541f-7a23-9540-074b49b6a254", "parent_span_id": "019bf609-541f-7a23-9540-073aeadcf7f1", "component": "agent", "actor_type": "agent", "actor_id": "worker", "payload_json": "{\"inputs_digest\": \"{'files': {}, 'messages': [{'content': '执行SQL查询列出当前数据库中的所有表（使用SELECT table_name FROM information_schema.tables WHERE table_schema = DATABASE()）', 'additional_kwargs': {}, 'response_metadata': {}, 'type': 'human', 'name': None, 'id': None}]}\", \"name\": \"LangGraph\", \"langgraph_node\": \"tools\", \"subagent\": null}", "timestamp": 1769359366.3942866}
agent-worker  | [AuditWorker] Received event raw: {'event_id': '8c5be8ac-43cc-47b6-ae31-d8b04583160d', 'schema_version': '1', 'event_type': 'chain_sta
agent-worker  | Ensure Span 019bf609-58df-7502-9702-07aeea1f0c5d failed: (sqlalchemy.dialects.postgresql.asyncpg.IntegrityError) <class 'asyncpg.exceptions.UniqueViolationError'>: duplicate key value violates unique constraint "agent_spans_pkey"
agent-worker  | DETAIL:  Key (span_id)=(019bf609-58df-7502-9702-07aeea1f0c5d) already exists.
agent-worker  | [SQL: INSERT INTO agent_spans (span_id, run_id, parent_span_id, span_type, agent_name, subagent_kind, graph_id, node_id, node_name, attempt, started_at, ended_at, status, input_blob_id, output_blob_id) VALUES ($1::UUID, $2::UUID, $3::UUID, $4::VARCHAR, $5::VARCHAR, $6::VARCHAR, $7::VARCHAR, $8::VARCHAR, $9::VARCHAR, $10::INTEGER, $11::TIMESTAMP WITH TIME ZONE, $12::TIMESTAMP WITH TIME ZONE, $13::VARCHAR, $14::UUID, $15::UUID)]
agent-worker  | [parameters: (UUID('019bf609-58df-7502-9702-07aeea1f0c5d'), UUID('d02c0a3e-b94c-4c7b-92e7-17f52f741a7f'), None, 'unknown', 'unknown', None, None, None, None, 1, datetime.datetime(2026, 1, 25, 16, 42, 46, 401682), None, 'running', None, None)]
agent-worker  | (Background on this error at: https://sqlalche.me/e/20/gkpj)
agent-worker  | AUDIT_LOG: {"event_id": "8c5be8ac-43cc-47b6-ae31-d8b04583160d", "schema_version": "1", "event_type": "chain_start", "event_time": "1769359366.3680549", "run_id": "d02c0a3e-b94c-4c7b-92e7-17f52f741a7f", "session_id": "65bbce37-8a62-40a2-9a58-ab2fdc423217", "thread_id": "10f75379-fa45-4a1d-a934-bca0dbbc7395", "span_id": "019bf609-58df-7502-9702-07aeea1f0c5d", "parent_span_id": "019bf609-541f-7a23-9540-074b49b6a254", "component": "agent", "actor_type": "agent", "actor_id": "worker", "payload_json": "{\"inputs_digest\": \"{'messages': [{'content': '执行SQL查询列出当前数据库中的所有表（使用SELECT table_name FROM information_schema.tables WHERE table_schema = DATABASE()）', 'additional_kwargs': {}, 'response_metadata': {}, 'type': 'human', 'name': None, 'id': None}]}\", \"name\": \"list_tables\", \"langgraph_node\": \"list_tables\", \"subagent\": null}", "timestamp": 1769359366.3996994}
agent-worker  | [AuditWorker] Received event raw: {'event_id': '24a2d920-1b60-48cc-bb82-cd0ae98d63c8', 'schema_version': '1', 'event_type': 'tool_call
agent-worker  | Ensure Span 019bf609-58e1-7dd3-a397-c8ad12f3b5b2 failed: (sqlalchemy.dialects.postgresql.asyncpg.IntegrityError) <class 'asyncpg.exceptions.UniqueViolationError'>: duplicate key value violates unique constraint "agent_spans_pkey"
agent-worker  | DETAIL:  Key (span_id)=(019bf609-58e1-7dd3-a397-c8ad12f3b5b2) already exists.
agent-worker  | [SQL: INSERT INTO agent_spans (span_id, run_id, parent_span_id, span_type, agent_name, subagent_kind, graph_id, node_id, node_name, attempt, started_at, ended_at, status, input_blob_id, output_blob_id) VALUES ($1::UUID, $2::UUID, $3::UUID, $4::VARCHAR, $5::VARCHAR, $6::VARCHAR, $7::VARCHAR, $8::VARCHAR, $9::VARCHAR, $10::INTEGER, $11::TIMESTAMP WITH TIME ZONE, $12::TIMESTAMP WITH TIME ZONE, $13::VARCHAR, $14::UUID, $15::UUID)]
agent-worker  | [parameters: (UUID('019bf609-58e1-7dd3-a397-c8ad12f3b5b2'), UUID('d02c0a3e-b94c-4c7b-92e7-17f52f741a7f'), None, 'unknown', 'unknown', None, None, None, None, 1, datetime.datetime(2026, 1, 25, 16, 42, 46, 407284), None, 'running', None, None)]
agent-worker  | (Background on this error at: https://sqlalche.me/e/20/gkpj)
agent-worker  | AUDIT_LOG: {"event_id": "24a2d920-1b60-48cc-bb82-cd0ae98d63c8", "schema_version": "1", "event_type": "tool_call_requested", "event_time": "1769359366.3692536", "run_id": "d02c0a3e-b94c-4c7b-92e7-17f52f741a7f", "session_id": "65bbce37-8a62-40a2-9a58-ab2fdc423217", "thread_id": "10f75379-fa45-4a1d-a934-bca0dbbc7395", "span_id": "019bf609-58e1-7dd3-a397-c8ad12f3b5b2", "parent_span_id": "019bf609-58df-7502-9702-07aeea1f0c5d", "component": "tool", "actor_type": "agent", "actor_id": "worker", "payload_json": "{\"tool_name\": \"data_db_list_tables\", \"input_digest\": \"{'analysis_id': '65bbce37-8a62-40a2-9a58-ab2fdc423217'}\"}", "timestamp": 1769359366.404861}
agent-worker  | [AuditWorker] Received event raw: {'event_id': '4cc5aa2f-23e0-4c0b-a129-4b783a5b0c40', 'schema_version': '1', 'event_type': 'tool_call
